,CL3,CC1,SV1,M31Fcsw,M11Fcsw,M31Plmr,M11Plmr,F21Plmr,M31Tong,M11Tong,LMEpi24M,SLEpi20M,AQC1cm,AQC4cm,AQC7cm,NP2,NP3,NP5,TRRsed1,TRRsed2,TRRsed3,TS28,TS29,Even1,Even2,Even3
589088,0,0,3,0,1,0,0,0,7,48,3814,1,12,2,11,1,2,0,1,0,0,0,0,1,0,1
539421,182,324,733,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,8,5,0,0,2,0,1
529793,79,886,11,0,0,0,2,0,0,0,1,0,52,81,95,0,0,0,0,9,6,0,2,0,5,0
236284,75,548,15,0,1,2,5,0,1,0,1,0,141,211,202,2,0,0,1,2,1,1,2,2,0,0
279158,127,1005,3,1,0,0,0,0,0,0,0,0,4,18,19,0,0,0,0,0,0,0,0,0,1,0
223447,72,834,0,0,0,0,0,0,0,0,0,0,21,77,65,0,0,0,0,0,0,0,0,0,2,0
72811,927,68,1,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,2,1,0
203722,3122,3251,7,0,4,1,40,0,5,0,2,0,4,15,31,0,2,3,0,2,3,5,0,26,19,1
265971,9,38,1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4
12919,24,58,1506,0,1,12,5,2,3,0,0,0,1,0,0,1,0,0,0,1,5,1,0,0,0,3
175954,34,300,1904,1,0,19,80,46,0,0,1,2,3,2,4,1,0,0,0,4,0,0,0,1,0,1
12988,27,241,987,0,0,29,56,13,0,0,2,0,2,0,0,0,1,0,2,3,2,0,0,1,1,1
238963,52,186,1708,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,2,0,0,0,1,3,8
531775,45,1152,16,1,0,31,4,24,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,5,0
265094,61,374,4361,0,0,14,15,1,1,1,0,0,1,0,2,0,0,2,3,2,1,1,2,3,2,28
304224,42,162,1459,0,0,1,8,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,2,4,11
273055,306,1262,6448,1,0,9,42,73,4,0,1,1,3,2,1,0,1,1,8,11,3,4,2,4,7,36
12896,333,386,772,2,0,0,0,2,0,0,0,0,3,28,5,0,0,2,0,0,0,1,0,5,3,3
359367,832,317,4,0,0,0,1,0,1,0,1,1,3,0,0,0,0,0,0,0,3,0,0,4,3,0
104294,3,2,0,0,0,0,5,1,2,3,5,11,1316,1013,1144,6,2,0,0,1,1,0,4,10,0,0
11431,3,16,1,1,0,0,5,0,0,0,2,178,410,424,437,3,3,0,0,2,0,0,0,2,0,0
152323,2,2,1,0,1,0,0,0,1,2,6,47,990,1001,911,6,0,2,0,0,0,0,4,3,0,0
270517,1,29,0,0,0,0,5,0,1,4,302,43,320,303,277,112,62,155,0,1,0,0,1,1,0,2
193229,1,20,0,0,0,0,0,0,3,1,4,5,1121,1584,1558,9,2,1,0,0,0,0,2,5,0,0
110305,3,50,9,1,0,0,1,0,2,0,2,3,283,413,426,2,0,2,0,4,3,0,2,1,0,1
546222,1,2,26,2,13,0,3,1,68,736,53839,2975,36,14,157,10,7,9,17,3,3,4,2,13,13,35
160626,0,2,2,0,1,0,0,0,7,96,5492,489,6,0,18,0,2,1,2,0,1,0,0,1,0,1
318920,0,0,5,0,1,0,1,0,9,130,11854,825,8,3,12,3,1,2,3,2,0,0,0,1,2,5
235395,0,3,1,1,0,0,5,1,5,42,2790,9312,92,26,76,2,4,1,1,1,1,5,2,9,1,5
105395,3,1,3,3,3,2,5,2,21,47,57,31674,491,91,346,5,17,10,2,5,3,6,5,15,8,4
313857,1,3,5,6,12,1,12,10,49,177,5970,34688,570,98,353,10,30,18,5,11,6,7,7,13,7,12
355132,4,2,3,3,2,0,4,1,10,107,7605,16778,220,51,180,5,10,7,6,1,2,2,0,5,7,5
252398,5,8,11,5,3,3,10,4,54,300,20504,47208,548,99,413,18,28,18,16,14,2,10,5,20,7,7
350893,0,0,2,0,2,0,1,1,8,42,2896,1300,36,5,24,0,0,1,1,2,0,0,1,1,0,0
351161,0,1,6,0,5,1,3,3,22,197,14264,8874,116,22,114,5,7,4,2,2,2,6,4,4,1,3
331093,2,3,5,3,4,0,7,3,30,196,13214,21764,296,49,222,9,15,9,8,4,3,3,2,9,6,10
317658,15,19,45,13,21,9,31,23,206,1351,92241,136344,1675,307,1281,40,61,65,50,23,11,21,19,68,24,61
249078,0,1,0,0,0,0,1,0,1,17,650,1197,10,3,10,0,0,1,1,1,0,0,1,1,0,0
329744,21,23,67,28,45,15,64,29,296,1474,102525,323914,3542,695,2908,91,126,120,83,51,28,52,48,129,66,99
581541,0,0,2,2,0,0,2,1,22,48,1509,2755,98,22,63,1,10,2,0,3,1,1,1,5,1,1
104265,58,316,2966,0,0,24,117,14,1,0,1,1,26,34,30,0,1,1,2,8,2,1,0,2,4,11
83514,63,360,1880,0,0,44,204,126,0,1,2,0,9,6,6,0,0,1,2,8,3,0,0,0,1,6
554377,58,228,1646,0,2,7,16,4,1,1,26,0,45,15,8,0,0,0,4,2,0,1,0,0,3,6
11428,8,18,1490,1,0,1,12,6,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,6
225825,22,186,1413,0,1,1,10,9,1,0,1,0,1,1,0,0,1,0,0,6,1,0,0,0,2,7
11441,17,78,2997,0,0,8,14,5,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0,1,0,4
223418,33,853,1941,1,1,28,113,35,1,0,1,0,1,1,0,0,0,0,1,4,3,0,0,1,5,4
49583,6,178,945,0,0,5,10,4,0,0,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,2
11448,6,171,9,0,0,2,976,6,2,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
147604,44,3375,16,0,1,80,148,53,1,2,2,4,43,65,40,0,0,0,0,1,2,0,0,1,11,0
83082,14,499,158,0,0,0,1,2,0,0,0,2,97,116,122,2,0,0,0,1,0,0,1,0,1,1
153548,30,701,928,0,0,1,2,4,0,1,0,2,45,139,72,0,0,0,0,2,0,0,1,0,1,1
190663,0,310,92,0,1,10,24,8,3,19,907,12,91,404,236,2,5,2,1,2,1,0,1,1,2,4
229136,0,1,3,0,1,1,0,1,1,39,3862,454,5,4,11,0,0,0,2,1,0,1,0,0,1,0
307298,0,9,22,0,5,1,2,4,40,439,37494,3,3,5,41,5,10,5,18,0,1,1,1,3,2,17
269755,1,14,2,0,3,0,3,0,4,94,6205,36,3,2,9,8,29,16,3,0,0,0,1,1,0,4
542975,0,9,21,1,2,1,0,1,14,290,23940,4,1,3,27,3,5,4,7,2,1,1,2,1,2,13
240200,0,1,4,0,3,0,0,0,8,101,9210,1164,16,5,20,4,396,14,0,5,0,1,1,3,4,6
240435,5,6,14,0,3,0,5,2,11,26,1301,68,8,10,8,571,912,653,2,0,1,0,0,4,2,1
263950,4,44,40,2,3,14,18,5,0,41,2707,33,11,21,18,4,22,6,1,2,0,0,0,1,0,3
398836,1,0,2,0,2,0,3,0,3,46,3672,413,6,7,10,138,753,372,2,0,0,0,0,0,0,3
362552,9,158,230,0,1,87,148,36,1,1,125,97,70,118,112,0,4,0,0,8,2,0,0,0,0,2
226363,3,38,60,0,0,18,26,6,0,31,1718,17,10,29,25,0,0,0,0,0,0,0,0,0,1,2
556066,8,169,124,1,4,45,238,30,5,91,5634,70,27,75,46,9,46,13,1,0,1,0,0,1,1,3
593699,7,288,11,4,2,184,11900,274,16,8,11,22,5,5,1,1,2,1,0,13,4,1,2,2,8,2
83011,0,1,1,0,0,1561,41,363,8,3,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
584347,2,4,0,0,2,5757,178,4258,27,10,3,2,5,6,2,2,3,1,5,0,0,0,1,0,2,2
24150,0,0,0,0,1,1496,35,671,6,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
131712,0,0,0,769,1,190,89,8,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0
67513,0,0,3,1,3,120,9,102,2584,30,14,2,2,0,2,4,0,5,0,0,0,2,12,1,0,0
23235,0,2,0,15,7,1621,80,335,4393,287,13,1,2,1,3,2,2,5,1,0,0,12,13,1,1,1
529839,1,46,64,0,0,178,1408,529,4,4,12,1,1,7,8,17,56,49,2,5,3,1,0,0,1,0
567669,1,0,3,1,1,389,3000,1137,6,6,2,3,1,3,1,0,5,23,4,9,8,0,0,0,1,0
543491,1,3,3,2,7,1860,91,172,15226,243,151,5,14,7,10,1,11,37,3,6,2,3,3,13,8,6
58301,0,5,1,3,4,5485,253,1958,2259,287,196,6,17,7,18,1,6,15,6,10,2,3,2,10,8,1
471141,8,20,13,15,12,9196,306,782,91809,1150,491,21,58,23,52,9,19,138,12,18,10,17,16,25,29,11
100937,2,3,0,2,2,3910,12143,572,18,14,12,3,8,3,1,0,9,8,0,3,1,2,2,3,0,3
270098,37,554,138,0,0,38,97,56,0,0,0,5,6,11,20,0,0,0,0,24,19,1,0,1,0,0
272208,0,0,0,12,1,438,582,63,1,0,1,1,0,0,1,0,1,3,2,86,11,1,0,0,0,0
320879,1,1,0,161,5,6385,5949,339,8,3,2,1,2,4,0,0,4,2,0,2,3,3,1,2,1,3
13459,0,0,0,1,0,21,3312,22,6,4,4,0,2,0,1,0,2,1,1,1,1,0,1,1,1,2
552026,0,0,0,3,0,594,2246,43,2,2,0,1,2,1,0,1,0,0,0,3,3,0,0,0,1,0
544910,0,0,1,1,1,1639,1589,25,3,3,0,1,1,2,0,0,5,0,0,0,0,0,3,0,1,0
261774,0,2,1,6,0,1030,852,238,1,2,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1
534507,1,0,0,0,1,345,1363,21,0,3,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
13456,0,0,0,1,11,319,600,136,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
470190,0,1,0,1,0,892,106,53,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
270102,1,0,2,10,1,1577,5694,163,14,5,4,2,0,1,1,0,0,1,1,9,7,2,1,2,0,3
470219,7,2,2,10,2,8739,8730,1752,15,15,14,2,4,7,1,0,10,3,1,0,0,7,3,2,1,2
410908,0,4,1,0,0,1499,59,21,0,0,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0
13420,0,0,0,0,0,2691,52,68,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1
58295,0,2,1,1,0,6250,185,814,24,4,5,1,3,0,0,0,0,0,0,0,1,2,1,0,0,0
470188,0,0,0,0,8,2301,3004,113,5,2,4,2,0,1,0,0,1,3,1,1,0,3,0,0,0,0
470213,0,0,2,3,2,8193,792,6310,45,25,14,7,3,9,4,1,2,3,5,1,2,1,1,3,1,3
81096,0,2,0,2,0,22,10144,65,12,6,1,1,2,6,1,1,0,1,0,1,2,0,2,2,0,1
154902,0,1,2,0,0,0,3595,10,3,3,4,0,2,0,0,0,0,0,0,2,0,0,0,1,0,2
558953,1,0,1,0,0,59,1457,26,7,0,5,0,1,1,1,0,1,0,1,3,9,1,0,0,0,0
20974,3,0,2,0,0,6,997,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
247201,593,962,11,0,0,16,21,1,0,0,1,3,233,417,427,3,0,0,0,0,0,0,1,3,6,0
579213,0,0,0,0,0,0,0,0,0,2,75,1633,47,49,54,0,0,0,0,0,0,1,0,1,0,0
101464,67,247,127,0,0,59,1991,24,0,1,1,55,33,39,46,0,0,0,1,41,11,0,0,3,1,0
13034,1765,1803,180,1,1,15,46,3,1,0,8,23,1277,2400,2349,11,3,5,2,61,153,3,6,21,4,0
309862,3,68,5,0,0,0,14,0,0,1,0,561,103,214,203,2,0,0,0,1,1,0,0,1,0,0
300187,2032,544,3,0,0,1,42,0,1,1,15,432,186,307,319,0,2,1,0,4,5,2,2,15,3,0
563112,2195,414,2,1,0,0,7,0,1,1,1,0,7,5,2,0,1,0,0,2,1,0,1,11,0,1
407296,592,450,323,0,0,9,187,1,1,1,4,3,154,242,240,0,3,0,0,13,14,1,1,11,6,1
181609,1,1,1,2,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,3,208,204,470,366,408
469868,9,12,9,8,3,2,4,12,3,4,3,0,40,4,0,0,0,2,13,3,80,299,1131,10076,8196,8497
326977,86,94,54,714,330,14,63,6,84,28,23,14,1022,12,18,5,28,22,116,11,655,22191,116225,57374,42950,49438
469873,5,8,5,20,22,2,6,1,11,5,3,0,104,4,3,0,4,5,16,1,125,4053,10129,11541,8801,10126
471180,21,25,19,3,3,2,1,0,12,4,9,4,78,4,2,1,12,4,37,5,174,58,132,23902,17377,19556
469852,0,0,0,0,31,0,0,0,1,0,0,0,3,1,0,0,0,1,2,0,5,7,2,742,504,620
149144,2,4,0,0,0,1,0,0,1,0,7,9,187,1653,1885,9,0,0,0,0,1,0,0,3,0,0
212910,0,0,0,0,0,0,0,0,1,1,10,7,233,1876,2117,16,0,0,0,1,0,0,0,1,0,0
192132,1,0,0,1394,14,5,0,8,1,2,2,2,3,0,0,0,0,0,0,0,1,5,314,1,0,1
51535,1,2,0,3532,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0
31235,1,0,0,0,0,51,5,0,4269,23,2,1,1,0,1,0,1,10,0,1,1,1,0,0,0,1
70628,0,0,1,0,4,4989,124,613,241,232,4,6,0,2,1,0,1,2,2,0,0,1,0,3,0,2
74391,0,1,1,1,0,524,134,14,5098,782,5,4,5,1,2,3,4,10,0,1,1,1,1,4,0,0
59574,0,2,2,2,1,3559,15,713,132,3,5,1,0,0,0,0,0,1,3,0,1,0,0,0,1,0
529857,0,0,0,1,0,1832,23,5,67,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
484462,0,0,0,0,0,1120,20,8,41,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
237034,0,0,1,1,1,1810,151,336,2395,54,3,3,0,1,0,0,2,3,1,1,0,1,0,0,0,0
64396,10,18,10,27,48,33605,1391,14859,98549,6519,193,40,76,57,36,19,35,215,33,20,16,12,12,25,18,21
518865,0,1,1,0,2,854,26,666,877,54,8,2,4,1,0,0,2,7,0,1,1,1,0,2,3,2
374052,0,0,0,0,0,2141,17,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288565,1235,196,328,0,0,8,0,0,0,0,1,0,2,1,1,1,6,6,0,0,0,0,0,11,1,4
332164,2391,370,723,2,0,29,2,1,22,1,0,0,2,0,1,2,20,24,0,0,0,1,0,9,1,4
357591,5,4,2,910,2,1,3,0,85,17,5,3,3,4,4,0,8,7,0,1,447,52961,647,36,8,25
562962,3,1,0,0,1242,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
287510,49,18,10,1,2,29,0,1,4,4,2,0,35,6,4,2,8,1,26,3,83,23,3,14747,8716,13640
190872,4,0,0,3899,1317,16,19,1,5,0,0,0,1,1,0,2,0,0,0,0,1,390,10,1,2,2
470139,18,14,15,13,0,0,0,3,3,1,3,3,57,7,5,2,4,3,36,1,140,14,10,23284,12494,18268
360238,9,11,6,2,0,0,0,0,5,1,0,1,17,1,1,0,0,2,15,0,25,7,3,3214,1730,2693
470369,24,21,22,2,3,3,3,0,8,3,3,3,65,3,2,0,3,7,43,2,150,27,9,19597,10636,15686
362383,0,0,0,37,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,106,1466,0,0,0
572915,0,0,0,35,0,0,0,0,1,0,0,0,16,1,0,0,0,1,0,0,4,718,1622,3,1,1
19191,0,0,0,4,1,386,42,29,548,15,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
470522,5,11,4,367,12,1,1,3,2,3,0,0,18,1,0,0,3,1,14,2,36,180,231,4964,2636,4312
360268,0,1,0,1,4992,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
385423,0,1,0,0,0,0,1,0,0,1,1,0,14,0,1,0,2197,158,0,1,0,0,0,0,0,0
303568,0,0,0,0,0,0,0,1,28,2,3,1,5,3,1,59,62,5372,13,3,0,0,0,1,2,0
577338,0,0,0,1,0,0,1,0,47,4,1,0,1,3,1,0,61,5537,9,0,0,1,1,2,1,1
3536,1,0,1,0,2,0,0,0,3,0,3,4,3657,13,1,0,6,1,0,2,0,0,9,6,1,0
3549,4,3,0,1,1,338,2124,324,4,5,3,0,1,1,6,0,2,2,2,18,2,1,0,1,0,0
589524,0,0,0,2,1,273,1024,220,4,0,1,99,2,0,1,0,0,1,2,10,1,0,0,2,0,0
245980,0,12,0,4,1,3688,354,321,3,1,0,0,0,1,2,0,1,0,0,30,0,0,0,1,0,0
60254,96,13,6,51,1,6350,6216,1448,26,7,8,59,9,4,2,2,18,7,9,254,10,1,1,5,1,4
330861,1,21,2,5,4,179,402,297,8,1,3,1,5,0,2,2,7,9,60,4618,55,0,3,0,1,0
589787,3,54,3,19,9,3755,19976,3975,72,25,32,234,20,19,10,3,36,23,173,10968,107,2,4,7,5,4
560209,0,3,0,0,6,325,951,332,5,3,0,0,2,0,1,2,12,0,1,52,0,0,0,0,0,0
108861,2,24,0,5,0,230,255,309,7,1,3,6,3,0,4,2,14,10,113,6467,53,0,3,0,2,1
38828,0,14,1,1,0,0,7,1,0,2,3,854,893,341,238,1,2,0,0,0,0,0,2,4,0,0
233592,1,2,0,0,0,0,1,0,5,5,15,8887,94,14,43,2,5,2,0,1,0,0,2,5,2,2
238123,1,2,1,0,0,0,5,0,164,10,11,454,50,21,5,210,4778,12453,30,5,1,1,0,0,3,3
535929,4,3,1,1,1,1,2,2,408,30,20,1504,58,78,28,1733,443,38229,85,11,2,6,4,5,4,5
25107,0,0,0,0,0,0,0,0,10,0,0,0,7,15,3,361,20,818,2,0,1,0,0,0,0,1
30150,0,0,0,0,0,0,0,0,0,1,1,1953,15,5,8,0,1,0,0,0,0,1,0,1,0,0
210139,1,0,0,0,0,0,1,0,2,2,1,1532,89,126,215,33,0,2,0,0,0,0,1,2,0,0
83959,1,0,0,1,0,0,0,0,6,3,4,6105,97,47,162,1,5,1,0,0,0,0,1,1,1,1
141745,1,2,0,0,0,1,1,0,9,2,14,6165,177,103,132,121,11,140,5,0,0,1,0,3,1,2
137837,1,1,0,1,3,1,2,4,35,1,8,2,27,140,47,5301,112,2528,7,4,2,0,2,4,0,4
46777,0,1,2,1,0,0,0,0,4,1,2,12,16,52,16,1955,16,246,2,0,0,1,0,1,3,1
354695,0,0,1,1,0,0,0,0,3,0,1,0,6,28,6,1020,217,339,3,1,0,2,0,3,0,2
286332,0,0,0,0,0,0,0,0,8,2,0,0,3,0,0,0,61,1135,4,2,0,0,1,0,0,1
558119,2,4,2,4,1,3,2,1,596,50,13,5,43,36,3,296,778,64741,152,11,5,5,4,6,4,8
574214,0,0,0,0,1,0,0,1,35,5,7,11,29,42,24,506,71,3501,13,1,1,0,0,1,0,0
308887,1,120,2,1,0,0,0,1,3,3,66,29,2363,3714,2630,20,89,109,55,36,12,1,7,13,1,1
313351,0,1,0,0,0,0,0,1,2,2,5,12,213,496,309,6,22,152,1,1,1,0,1,1,0,0
278521,3,75,12,1,1,1,1,0,9,11,29,72,4112,8923,5826,33,418,256,69,46,4,2,12,21,7,4
317794,0,1,0,0,0,0,0,0,2,0,2,1,82,113,79,3,2027,200,40,12,0,0,0,0,0,0
561077,11,151,68,2,13,1,4,2,40,11,105,166,12187,28435,19161,135,1896,451,35,12,7,4,35,61,7,7
542011,0,215,0,0,2,0,1,1,36,5,32,56,4248,12481,6643,133,181,2381,13,1,2,1,10,16,2,2
139214,0,0,0,0,0,0,2,0,3,3,15,12,807,1319,864,8,86,9,20,23,2,2,2,7,0,0
348903,0,7,4,0,1,1,0,0,1,0,3,7,407,963,669,12,28,23,0,1,0,0,0,2,0,1
323726,1,0,0,2,1,0,0,2,6,3,16,25,1669,4379,2666,15,24,17,2,1,1,2,5,9,0,0
332808,2,4,1,0,1,4,5,44,545,46,922,32,595,189,76,139,4379,62214,161,26,6,10,3,7,2,5
583758,0,0,0,0,0,0,1,0,4,2,1,18,43,17,14,3,4585,80,2,0,1,0,0,1,1,0
347931,2,0,0,0,4,1,2,0,201,17,8,0,11,7,4,2,460,16586,50,3,1,1,1,3,2,2
91725,4,10,1,4,2,0,3,1,14,4,42,21,838,2824,1309,41,6537,2027,10,5,2,3,2,14,3,4
305627,1,0,0,0,0,0,5,2,59,3,3,9,45,48,7,865,5461,5318,16,8,3,2,0,4,2,2
347310,0,0,0,1,0,0,1,1,7,0,0,3,6,12,1,159,808,824,2,1,0,0,0,0,0,1
317182,192,111,85,54,46,23,46,57,850,202,825,2634,102264,218849,121865,3148,12370,63084,261,86,66,55,281,1042,78,55
549656,192,383,395,131,156,68,146,170,935,634,2952,9361,554198,1177685,711043,5045,10713,1784,334,237,248,232,1457,2198,286,231
327536,4,5,4,6,10,2,8,12,255,44,216,158,27607,75887,26367,267,595,11801,133,29,20,14,68,91,11,13
318540,2,66,0,0,0,1,1,0,17,2,16,10,618,1155,576,41,1360,1266,37,9,1,0,3,4,0,1
306869,0,2,5,1,1,1,0,0,7,2,5,250,770,2861,1041,17,142,128,11,2,3,0,4,3,2,2
340216,14,8,0,12,7,4,30,7,52,38,165,324,27874,38334,36270,226,493,68,12,18,11,9,60,144,11,8
106374,1,0,0,2,1,0,3,0,4,0,4,0,54,3,2,11,7802,41,2,0,0,1,0,1,0,1
338106,0,0,1,0,0,0,0,0,7,3,0,1,23,8,0,26,3374,584,6,0,0,0,0,1,0,0
591206,1,2,0,1,0,0,1,1,96,12,6,5,598,1338,845,93,432,7381,17,1,0,1,3,2,1,1
131943,0,0,0,1,0,1,1,1,31,5,1,0,3,8,0,128,501,4625,12,1,0,1,0,0,0,0
351106,0,0,1,1,0,0,1,0,33,1,3,1,5,10,3,328,179,4614,6,0,0,2,0,1,1,1
227597,1,0,2,1,0,0,0,0,4,2,0,0,4,16,7,679,14,410,0,0,0,0,0,3,0,0
138411,0,0,0,0,1,2,1,0,35,5,3,1,6,31,12,1464,162,3812,7,2,0,1,0,3,3,1
230203,1,0,1,1,0,0,1,0,16,3,1,70,3,20,2,482,61,2391,7,1,2,0,1,0,0,1
153911,1,0,0,0,1,1,0,1,88,7,1,2,9,43,16,1429,458,13578,29,3,1,1,2,4,4,3
513373,0,1,0,0,0,0,1,0,0,1,1,2063,12,6,9,2,1,15,0,0,0,0,0,0,0,0
247611,0,0,1,0,0,0,0,1,22,2,1,0,11,32,6,631,1358,1613,6,2,0,0,0,0,1,0
48463,0,0,1,1,1,0,0,0,49,1,1,2,3,19,2,299,103,4770,7,1,0,2,0,0,0,0
534046,1,0,0,1,0,0,1,1,52,4,0,1,9,47,13,1956,476,9501,16,2,2,0,0,1,1,3
228407,3,2,3,1,3,1,2,0,216,12,4,3,39,100,26,4021,3080,25330,51,8,1,6,2,2,2,6
565556,27,144,9562,0,2,4,11,0,1,0,1,1,54,2,2,2,8,3,0,0,1,1,3,0,1,24
51024,13,80,5013,2,2,2,4,0,3,1,2,15,1635,78,3,0,7,2,10,2,0,1,10,10,4,40
471225,0,0,2,0,0,0,0,0,4,59,6740,1,0,1,3,0,0,2,2,0,0,0,0,1,0,3
3112,0,0,4,0,0,0,0,1,6,114,13974,4,9,12,17,1,0,1,3,1,0,0,1,1,1,10
545082,0,0,10,1,3,2,2,2,17,255,28009,1,4,5,38,3,5,2,12,1,1,1,2,4,4,10
111394,1,1,5,0,4,0,1,1,11,92,6096,1,2,1,8,2,1,5,2,0,0,0,0,0,2,3
199024,0,0,0,0,0,0,0,0,1,10,954,561,6,2,9,0,0,0,2,0,0,0,0,0,0,0
279599,24,23,392,30,119,26,29,67,532,8719,914209,967,130,136,1029,113,114,126,305,75,19,52,46,89,77,402
235567,6,7,45,5,101,7,16,12,164,2054,119640,48,41,28,258,36,23,27,40,20,7,8,5,14,24,61
592912,0,0,1,0,5,0,0,0,5,19,1052,0,0,0,7,2,0,0,0,1,0,1,1,0,0,0
375870,1,0,0,1,0,0,0,0,0,4,5,4595,23,9,22,1,1,0,1,0,0,1,0,0,1,0
225695,0,1,0,0,0,0,1,0,4,4,15,9644,51,6,42,1,0,2,0,0,0,3,0,2,0,0
